Year,Month,Date,ICD Sub-Chapter,ICD Sub-Chapter Code,Deaths
2004,Sep,2004/09,Influenza and pneumonia,J09-J18,3743
2004,Sep,2004/09,Chronic lower respiratory diseases,J40-J47,8520
2004,Sep,2004/09,Diseases of liver,K70-K76,2872
2004,Sep,2004/09,Transport accidents,V01-V99,3982
2004,Sep,2004/09,Intentional self-harm,X60-X84,2710
2004,Oct,2004/10,Tuberculosis,A16-A19,56
2004,Oct,2004/10,Other bacterial diseases,A30-A49,2879
2004,Oct,2004/10,Viral hepatitis,B15-B19,478
2004,Oct,2004/10,Human immunodeficiency virus [HIV] disease,B20-B24,1135
2004,Oct,2004/10,Sequelae of infectious and parasitic diseases,B90-B94,259
2004,Oct,2004/10,Diabetes mellitus,E10-E14,5978
2004,Oct,2004/10,Malnutrition,E40-E46,193
2004,Oct,2004/10,Obesity and other hyperalimentation,E65-E68,343
2004,Oct,2004/10,Other degenerative diseases of the nervous system,G30-G31,5805
2004,Oct,2004/10,Pulmonary heart disease and diseases of pulmonary circulation,I26-I28,1083
2004,Oct,2004/10,"Diseases of arteries, arterioles and capillaries",I70-I78,2929
2004,Oct,2004/10,Influenza and pneumonia,J09-J18,4377
2004,Oct,2004/10,Chronic lower respiratory diseases,J40-J47,9204
2004,Oct,2004/10,Diseases of liver,K70-K76,3014
2004,Oct,2004/10,Transport accidents,V01-V99,4242
2004,Oct,2004/10,Intentional self-harm,X60-X84,2762
2004,Nov,2004/11,Tuberculosis,A16-A19,40
2004,Nov,2004/11,Other bacterial diseases,A30-A49,2753
2004,Nov,2004/11,Viral hepatitis,B15-B19,450
2004,Nov,2004/11,Human immunodeficiency virus [HIV] disease,B20-B24,1007
2004,Nov,2004/11,Sequelae of infectious and parasitic diseases,B90-B94,213
2004,Nov,2004/11,Diabetes mellitus,E10-E14,6047
2004,Nov,2004/11,Malnutrition,E40-E46,218
2004,Nov,2004/11,Obesity and other hyperalimentation,E65-E68,317
2004,Nov,2004/11,Other degenerative diseases of the nervous system,G30-G31,5835
2004,Nov,2004/11,Pulmonary heart disease and diseases of pulmonary circulation,I26-I28,1022
2004,Nov,2004/11,"Diseases of arteries, arterioles and capillaries",I70-I78,2980
2004,Nov,2004/11,Influenza and pneumonia,J09-J18,4366
2004,Nov,2004/11,Chronic lower respiratory diseases,J40-J47,9315
2004,Nov,2004/11,Diseases of liver,K70-K76,3007
2004,Nov,2004/11,Transport accidents,V01-V99,3804
2004,Nov,2004/11,Intentional self-harm,X60-X84,2640
2004,Dec,2004/12,Tuberculosis,A16-A19,63
2004,Dec,2004/12,Other bacterial diseases,A30-A49,3278
2004,Dec,2004/12,Viral hepatitis,B15-B19,448
2004,Dec,2004/12,Human immunodeficiency virus [HIV] disease,B20-B24,1158
2004,Dec,2004/12,Sequelae of infectious and parasitic diseases,B90-B94,263
2004,Dec,2004/12,Diabetes mellitus,E10-E14,6600
2004,Dec,2004/12,Malnutrition,E40-E46,256
2004,Dec,2004/12,Obesity and other hyperalimentation,E65-E68,412
2004,Dec,2004/12,Other degenerative diseases of the nervous system,G30-G31,6514
2004,Dec,2004/12,Pulmonary heart disease and diseases of pulmonary circulation,I26-I28,1151
2004,Dec,2004/12,"Diseases of arteries, arterioles and capillaries",I70-I78,3157
2004,Dec,2004/12,Influenza and pneumonia,J09-J18,5375
2004,Dec,2004/12,Chronic lower respiratory diseases,J40-J47,10824
2004,Dec,2004/12,Diseases of liver,K70-K76,3123
2004,Dec,2004/12,Transport accidents,V01-V99,3960
2004,Dec,2004/12,Intentional self-harm,X60-X84,2466
2005,Jan,2005/01,Tuberculosis,A16-A19,52
2005,Jan,2005/01,Other bacterial diseases,A30-A49,3409
2005,Jan,2005/01,Viral hepatitis,B15-B19,521
2005,Jan,2005/01,Human immunodeficiency virus [HIV] disease,B20-B24,1099
2005,Jan,2005/01,Sequelae of infectious and parasitic diseases,B90-B94,274
2005,Jan,2005/01,Diabetes mellitus,E10-E14,7095
2005,Jan,2005/01,Malnutrition,E40-E46,297
2005,Jan,2005/01,Obesity and other hyperalimentation,E65-E68,425
2005,Jan,2005/01,Other degenerative diseases of the nervous system,G30-G31,7081
2005,Jan,2005/01,Pulmonary heart disease and diseases of pulmonary circulation,I26-I28,1267
2005,Jan,2005/01,"Diseases of arteries, arterioles and capillaries",I70-I78,3319
2005,Jan,2005/01,Influenza and pneumonia,J09-J18,7254
2005,Jan,2005/01,Chronic lower respiratory diseases,J40-J47,13002
2005,Jan,2005/01,Diseases of liver,K70-K76,3195
2005,Jan,2005/01,Transport accidents,V01-V99,3462
2005,Jan,2005/01,Intentional self-harm,X60-X84,2691
2005,Feb,2005/02,Tuberculosis,A16-A19,55
2005,Feb,2005/02,Other bacterial diseases,A30-A49,3243
2005,Feb,2005/02,Viral hepatitis,B15-B19,468
2005,Feb,2005/02,Human immunodeficiency virus [HIV] disease,B20-B24,1089
2005,Feb,2005/02,Sequelae of infectious and parasitic diseases,B90-B94,242
2005,Feb,2005/02,Diabetes mellitus,E10-E14,6668
2005,Feb,2005/02,Malnutrition,E40-E46,279
2005,Feb,2005/02,Obesity and other hyperalimentation,E65-E68,403
2005,Feb,2005/02,Other degenerative diseases of the nervous system,G30-G31,6890
2005,Feb,2005/02,Pulmonary heart disease and diseases of pulmonary circulation,I26-I28,1200
2005,Feb,2005/02,"Diseases of arteries, arterioles and capillaries",I70-I78,3024
2005,Feb,2005/02,Influenza and pneumonia,J09-J18,7818
2005,Feb,2005/02,Chronic lower respiratory diseases,J40-J47,13674
2005,Feb,2005/02,Diseases of liver,K70-K76,2988
2005,Feb,2005/02,Transport accidents,V01-V99,3184
2005,Feb,2005/02,Intentional self-harm,X60-X84,2445
2005,Mar,2005/03,Tuberculosis,A16-A19,66
2005,Mar,2005/03,Other bacterial diseases,A30-A49,3498
2005,Mar,2005/03,Viral hepatitis,B15-B19,480
2005,Mar,2005/03,Human immunodeficiency virus [HIV] disease,B20-B24,1110
2005,Mar,2005/03,Sequelae of infectious and parasitic diseases,B90-B94,282
2005,Mar,2005/03,Diabetes mellitus,E10-E14,6953
2005,Mar,2005/03,Malnutrition,E40-E46,306
2005,Mar,2005/03,Obesity and other hyperalimentation,E65-E68,446
2005,Mar,2005/03,Other degenerative diseases of the nervous system,G30-G31,7249
2005,Mar,2005/03,Pulmonary heart disease and diseases of pulmonary circulation,I26-I28,1253
2005,Mar,2005/03,"Diseases of arteries, arterioles and capillaries",I70-I78,3404
2005,Mar,2005/03,Influenza and pneumonia,J09-J18,8079
2005,Mar,2005/03,Chronic lower respiratory diseases,J40-J47,14659
2005,Mar,2005/03,Diseases of liver,K70-K76,3230
2005,Mar,2005/03,Transport accidents,V01-V99,3487
2005,Mar,2005/03,Intentional self-harm,X60-X84,2821
2005,Apr,2005/04,Tuberculosis,A16-A19,58
2005,Apr,2005/04,Other bacterial diseases,A30-A49,3071
2005,Apr,2005/04,Viral hepatitis,B15-B19,450
2005,Apr,2005/04,Human immunodeficiency virus [HIV] disease,B20-B24,1051
2005,Apr,2005/04,Sequelae of infectious and parasitic diseases,B90-B94,283
2005,Apr,2005/04,Diabetes mellitus,E10-E14,6252
2005,Apr,2005/04,Malnutrition,E40-E46,245
2005,Apr,2005/04,Obesity and other hyperalimentation,E65-E68,386
2005,Apr,2005/04,Other degenerative diseases of the nervous system,G30-G31,5968
2005,Apr,2005/04,Pulmonary heart disease and diseases of pulmonary circulation,I26-I28,1124
2005,Apr,2005/04,"Diseases of arteries, arterioles and capillaries",I70-I78,2901
2005,Apr,2005/04,Influenza and pneumonia,J09-J18,5582
2005,Apr,2005/04,Chronic lower respiratory diseases,J40-J47,12206
2005,Apr,2005/04,Diseases of liver,K70-K76,3049
2005,Apr,2005/04,Transport accidents,V01-V99,3905
2005,Apr,2005/04,Intentional self-harm,X60-X84,2794
2005,May,2005/05,Tuberculosis,A16-A19,60
2005,May,2005/05,Other bacterial diseases,A30-A49,2875
2005,May,2005/05,Viral hepatitis,B15-B19,445
2005,May,2005/05,Human immunodeficiency virus [HIV] disease,B20-B24,1038
2005,May,2005/05,Sequelae of infectious and parasitic diseases,B90-B94,276
2005,May,2005/05,Diabetes mellitus,E10-E14,6126
2005,May,2005/05,Malnutrition,E40-E46,223
2005,May,2005/05,Obesity and other hyperalimentation,E65-E68,369
2005,May,2005/05,Other degenerative diseases of the nervous system,G30-G31,5447
2005,May,2005/05,Pulmonary heart disease and diseases of pulmonary circulation,I26-I28,1085
2005,May,2005/05,"Diseases of arteries, arterioles and capillaries",I70-I78,2963
2005,May,2005/05,Influenza and pneumonia,J09-J18,4705
2005,May,2005/05,Chronic lower respiratory diseases,J40-J47,10936
2005,May,2005/05,Diseases of liver,K70-K76,3054
2005,May,2005/05,Transport accidents,V01-V99,4096
2005,May,2005/05,Intentional self-harm,X60-X84,2885
2005,Jun,2005/06,Tuberculosis,A16-A19,50
2005,Jun,2005/06,Other bacterial diseases,A30-A49,2689
2005,Jun,2005/06,Viral hepatitis,B15-B19,405
2005,Jun,2005/06,Human immunodeficiency virus [HIV] disease,B20-B24,961
2005,Jun,2005/06,Sequelae of infectious and parasitic diseases,B90-B94,244
2005,Jun,2005/06,Diabetes mellitus,E10-E14,5580
2005,Jun,2005/06,Malnutrition,E40-E46,227
2005,Jun,2005/06,Obesity and other hyperalimentation,E65-E68,352
2005,Jun,2005/06,Other degenerative diseases of the nervous system,G30-G31,5018
2005,Jun,2005/06,Pulmonary heart disease and diseases of pulmonary circulation,I26-I28,1044
2005,Jun,2005/06,"Diseases of arteries, arterioles and capillaries",I70-I78,2703
2005,Jun,2005/06,Influenza and pneumonia,J09-J18,4019
2005,Jun,2005/06,Chronic lower respiratory diseases,J40-J47,9786
2005,Jun,2005/06,Diseases of liver,K70-K76,2881
2005,Jun,2005/06,Transport accidents,V01-V99,4113
2005,Jun,2005/06,Intentional self-harm,X60-X84,2758
2005,Jul,2005/07,Tuberculosis,A16-A19,44
2005,Jul,2005/07,Other bacterial diseases,A30-A49,2752
2005,Jul,2005/07,Viral hepatitis,B15-B19,455
2005,Jul,2005/07,Human immunodeficiency virus [HIV] disease,B20-B24,1011
2005,Jul,2005/07,Sequelae of infectious and parasitic diseases,B90-B94,239
2005,Jul,2005/07,Diabetes mellitus,E10-E14,5757
2005,Jul,2005/07,Malnutrition,E40-E46,247
2005,Jul,2005/07,Obesity and other hyperalimentation,E65-E68,380
2005,Jul,2005/07,Other degenerative diseases of the nervous system,G30-G31,5270
2005,Jul,2005/07,Pulmonary heart disease and diseases of pulmonary circulation,I26-I28,1025
2005,Jul,2005/07,"Diseases of arteries, arterioles and capillaries",I70-I78,2718
2005,Jul,2005/07,Influenza and pneumonia,J09-J18,3795
2005,Jul,2005/07,Chronic lower respiratory diseases,J40-J47,9120
2005,Jul,2005/07,Diseases of liver,K70-K76,2977
2005,Jul,2005/07,Transport accidents,V01-V99,4649
2005,Jul,2005/07,Intentional self-harm,X60-X84,2826
2005,Aug,2005/08,Tuberculosis,A16-A19,60
2005,Aug,2005/08,Other bacterial diseases,A30-A49,2684
2005,Aug,2005/08,Viral hepatitis,B15-B19,442
2005,Aug,2005/08,Human immunodeficiency virus [HIV] disease,B20-B24,1032
2005,Aug,2005/08,Sequelae of infectious and parasitic diseases,B90-B94,233
2005,Aug,2005/08,Diabetes mellitus,E10-E14,5721
2005,Aug,2005/08,Malnutrition,E40-E46,238
2005,Aug,2005/08,Obesity and other hyperalimentation,E65-E68,361
2005,Aug,2005/08,Other degenerative diseases of the nervous system,G30-G31,5320
2005,Aug,2005/08,Pulmonary heart disease and diseases of pulmonary circulation,I26-I28,1006
2005,Aug,2005/08,"Diseases of arteries, arterioles and capillaries",I70-I78,2725
2005,Aug,2005/08,Influenza and pneumonia,J09-J18,3633
2005,Aug,2005/08,Chronic lower respiratory diseases,J40-J47,8741
2005,Aug,2005/08,Diseases of liver,K70-K76,3022
2005,Aug,2005/08,Transport accidents,V01-V99,4279
2005,Aug,2005/08,Intentional self-harm,X60-X84,2749
2005,Sep,2005/09,Tuberculosis,A16-A19,60
2005,Sep,2005/09,Other bacterial diseases,A30-A49,2623
2005,Sep,2005/09,Viral hepatitis,B15-B19,425
2005,Sep,2005/09,Human immunodeficiency virus [HIV] disease,B20-B24,982
2005,Sep,2005/09,Sequelae of infectious and parasitic diseases,B90-B94,242
2005,Sep,2005/09,Diabetes mellitus,E10-E14,5737
2005,Sep,2005/09,Malnutrition,E40-E46,222
2005,Sep,2005/09,Obesity and other hyperalimentation,E65-E68,361
2005,Sep,2005/09,Other degenerative diseases of the nervous system,G30-G31,5524
2005,Sep,2005/09,Pulmonary heart disease and diseases of pulmonary circulation,I26-I28,1004
2005,Sep,2005/09,"Diseases of arteries, arterioles and capillaries",I70-I78,2695
2005,Sep,2005/09,Influenza and pneumonia,J09-J18,3573
2005,Sep,2005/09,Chronic lower respiratory diseases,J40-J47,8537
2005,Sep,2005/09,Diseases of liver,K70-K76,2931
2005,Sep,2005/09,Transport accidents,V01-V99,4155
2005,Sep,2005/09,Intentional self-harm,X60-X84,2765
2005,Oct,2005/10,Tuberculosis,A16-A19,47
2005,Oct,2005/10,Other bacterial diseases,A30-A49,2871
2005,Oct,2005/10,Viral hepatitis,B15-B19,442
2005,Oct,2005/10,Human immunodeficiency virus [HIV] disease,B20-B24,1069
2005,Oct,2005/10,Sequelae of infectious and parasitic diseases,B90-B94,240
2005,Oct,2005/10,Diabetes mellitus,E10-E14,5947
2005,Oct,2005/10,Malnutrition,E40-E46,237
2005,Oct,2005/10,Obesity and other hyperalimentation,E65-E68,355
2005,Oct,2005/10,Other degenerative diseases of the nervous system,G30-G31,5995
2005,Oct,2005/10,Pulmonary heart disease and diseases of pulmonary circulation,I26-I28,1118
2005,Oct,2005/10,"Diseases of arteries, arterioles and capillaries",I70-I78,2893
2005,Oct,2005/10,Influenza and pneumonia,J09-J18,4264
2005,Oct,2005/10,Chronic lower respiratory diseases,J40-J47,9339
2005,Oct,2005/10,Diseases of liver,K70-K76,3077
2005,Oct,2005/10,Transport accidents,V01-V99,4401
2005,Oct,2005/10,Intentional self-harm,X60-X84,2714
2005,Nov,2005/11,Tuberculosis,A16-A19,40
2005,Nov,2005/11,Other bacterial diseases,A30-A49,2906
2005,Nov,2005/11,Viral hepatitis,B15-B19,459
2005,Nov,2005/11,Human immunodeficiency virus [HIV] disease,B20-B24,1004
2005,Nov,2005/11,Sequelae of infectious and parasitic diseases,B90-B94,247
2005,Nov,2005/11,Diabetes mellitus,E10-E14,6211
2005,Nov,2005/11,Malnutrition,E40-E46,239
2005,Nov,2005/11,Obesity and other hyperalimentation,E65-E68,400
2005,Nov,2005/11,Other degenerative diseases of the nervous system,G30-G31,6378
2005,Nov,2005/11,Pulmonary heart disease and diseases of pulmonary circulation,I26-I28,1142
2005,Nov,2005/11,"Diseases of arteries, arterioles and capillaries",I70-I78,2890
2005,Nov,2005/11,Influenza and pneumonia,J09-J18,4414
2005,Nov,2005/11,Chronic lower respiratory diseases,J40-J47,9604
2005,Nov,2005/11,Diseases of liver,K70-K76,3052
2005,Nov,2005/11,Transport accidents,V01-V99,4079
2005,Nov,2005/11,Intentional self-harm,X60-X84,2568
2005,Dec,2005/12,Tuberculosis,A16-A19,56
2005,Dec,2005/12,Other bacterial diseases,A30-A49,3286
2005,Dec,2005/12,Viral hepatitis,B15-B19,537
2005,Dec,2005/12,Human immunodeficiency virus [HIV] disease,B20-B24,1097
2005,Dec,2005/12,Sequelae of infectious and parasitic diseases,B90-B94,279
2005,Dec,2005/12,Diabetes mellitus,E10-E14,7072
2005,Dec,2005/12,Malnutrition,E40-E46,243
2005,Dec,2005/12,Obesity and other hyperalimentation,E65-E68,412
2005,Dec,2005/12,Other degenerative diseases of the nervous system,G30-G31,7282
2005,Dec,2005/12,Pulmonary heart disease and diseases of pulmonary circulation,I26-I28,1236
2005,Dec,2005/12,"Diseases of arteries, arterioles and capillaries",I70-I78,3223
2005,Dec,2005/12,Influenza and pneumonia,J09-J18,5865
2005,Dec,2005/12,Chronic lower respiratory diseases,J40-J47,11329
2005,Dec,2005/12,Diseases of liver,K70-K76,3327
2005,Dec,2005/12,Transport accidents,V01-V99,3907
2005,Dec,2005/12,Intentional self-harm,X60-X84,2543
2006,Jan,2006/01,Tuberculosis,A16-A19,57
2006,Jan,2006/01,Other bacterial diseases,A30-A49,3331
2006,Jan,2006/01,Viral hepatitis,B15-B19,662
2006,Jan,2006/01,Human immunodeficiency virus [HIV] disease,B20-B24,1041
2006,Jan,2006/01,Sequelae of infectious and parasitic diseases,B90-B94,116
2006,Jan,2006/01,Diabetes mellitus,E10-E14,6655
2006,Jan,2006/01,Malnutrition,E40-E46,244
2006,Jan,2006/01,Obesity and other hyperalimentation,E65-E68,424
2006,Jan,2006/01,Other degenerative diseases of the nervous system,G30-G31,6950
2006,Jan,2006/01,Pulmonary heart disease and diseases of pulmonary circulation,I26-I28,1105
2006,Jan,2006/01,"Diseases of arteries, arterioles and capillaries",I70-I78,2844
2006,Jan,2006/01,Influenza and pneumonia,J09-J18,6517
2006,Jan,2006/01,Chronic lower respiratory diseases,J40-J47,12558
2006,Jan,2006/01,Diseases of liver,K70-K76,3355
2006,Jan,2006/01,Transport accidents,V01-V99,3564
2006,Jan,2006/01,Intentional self-harm,X60-X84,2712
2006,Feb,2006/02,Tuberculosis,A16-A19,51
2006,Feb,2006/02,Other bacterial diseases,A30-A49,3039
2006,Feb,2006/02,Viral hepatitis,B15-B19,574
2006,Feb,2006/02,Human immunodeficiency virus [HIV] disease,B20-B24,1002
2006,Feb,2006/02,Sequelae of infectious and parasitic diseases,B90-B94,125
2006,Feb,2006/02,Diabetes mellitus,E10-E14,6187
2006,Feb,2006/02,Malnutrition,E40-E46,194
2006,Feb,2006/02,Obesity and other hyperalimentation,E65-E68,422
2006,Feb,2006/02,Other degenerative diseases of the nervous system,G30-G31,6302
2006,Feb,2006/02,Pulmonary heart disease and diseases of pulmonary circulation,I26-I28,1011
2006,Feb,2006/02,"Diseases of arteries, arterioles and capillaries",I70-I78,2538
2006,Feb,2006/02,Influenza and pneumonia,J09-J18,5559
2006,Feb,2006/02,Chronic lower respiratory diseases,J40-J47,11369
2006,Feb,2006/02,Diseases of liver,K70-K76,3017
2006,Feb,2006/02,Transport accidents,V01-V99,3299
2006,Feb,2006/02,Intentional self-harm,X60-X84,2414
2006,Mar,2006/03,Tuberculosis,A16-A19,63
2006,Mar,2006/03,Other bacterial diseases,A30-A49,3457
2006,Mar,2006/03,Viral hepatitis,B15-B19,683
2006,Mar,2006/03,Human immunodeficiency virus [HIV] disease,B20-B24,1042
2006,Mar,2006/03,Sequelae of infectious and parasitic diseases,B90-B94,122
2006,Mar,2006/03,Diabetes mellitus,E10-E14,6707
2006,Mar,2006/03,Malnutrition,E40-E46,223
2006,Mar,2006/03,Obesity and other hyperalimentation,E65-E68,449
2006,Mar,2006/03,Other degenerative diseases of the nervous system,G30-G31,7119
2006,Mar,2006/03,Pulmonary heart disease and diseases of pulmonary circulation,I26-I28,1130
2006,Mar,2006/03,"Diseases of arteries, arterioles and capillaries",I70-I78,2886
2006,Mar,2006/03,Influenza and pneumonia,J09-J18,6464
2006,Mar,2006/03,Chronic lower respiratory diseases,J40-J47,13026
2006,Mar,2006/03,Diseases of liver,K70-K76,3200
2006,Mar,2006/03,Transport accidents,V01-V99,3730
2006,Mar,2006/03,Intentional self-harm,X60-X84,2752
2006,Apr,2006/04,Tuberculosis,A16-A19,49
2006,Apr,2006/04,Other bacterial diseases,A30-A49,3049
2006,Apr,2006/04,Viral hepatitis,B15-B19,606
2006,Apr,2006/04,Human immunodeficiency virus [HIV] disease,B20-B24,1026
2006,Apr,2006/04,Sequelae of infectious and parasitic diseases,B90-B94,108
2006,Apr,2006/04,Diabetes mellitus,E10-E14,5954
2006,Apr,2006/04,Malnutrition,E40-E46,226
2006,Apr,2006/04,Obesity and other hyperalimentation,E65-E68,378
2006,Apr,2006/04,Other degenerative diseases of the nervous system,G30-G31,6155
2006,Apr,2006/04,Pulmonary heart disease and diseases of pulmonary circulation,I26-I28,1082
2006,Apr,2006/04,"Diseases of arteries, arterioles and capillaries",I70-I78,2598
2006,Apr,2006/04,Influenza and pneumonia,J09-J18,4886
2006,Apr,2006/04,Chronic lower respiratory diseases,J40-J47,11008
2006,Apr,2006/04,Diseases of liver,K70-K76,3049
2006,Apr,2006/04,Transport accidents,V01-V99,3921
2006,Apr,2006/04,Intentional self-harm,X60-X84,2837
2006,May,2006/05,Tuberculosis,A16-A19,52
2006,May,2006/05,Other bacterial diseases,A30-A49,2909
2006,May,2006/05,Viral hepatitis,B15-B19,630
2006,May,2006/05,Human immunodeficiency virus [HIV] disease,B20-B24,1022
2006,May,2006/05,Sequelae of infectious and parasitic diseases,B90-B94,109
2006,May,2006/05,Diabetes mellitus,E10-E14,6061
2006,May,2006/05,Malnutrition,E40-E46,182
2006,May,2006/05,Obesity and other hyperalimentation,E65-E68,396
2006,May,2006/05,Other degenerative diseases of the nervous system,G30-G31,5969
2006,May,2006/05,Pulmonary heart disease and diseases of pulmonary circulation,I26-I28,1020
2006,May,2006/05,"Diseases of arteries, arterioles and capillaries",I70-I78,2625
2006,May,2006/05,Influenza and pneumonia,J09-J18,4317
2006,May,2006/05,Chronic lower respiratory diseases,J40-J47,10103
2006,May,2006/05,Diseases of liver,K70-K76,3020
2006,May,2006/05,Transport accidents,V01-V99,4157
2006,May,2006/05,Intentional self-harm,X60-X84,2944
2006,Jun,2006/06,Tuberculosis,A16-A19,62
2006,Jun,2006/06,Other bacterial diseases,A30-A49,2755
2006,Jun,2006/06,Viral hepatitis,B15-B19,572
2006,Jun,2006/06,Human immunodeficiency virus [HIV] disease,B20-B24,964
2006,Jun,2006/06,Sequelae of infectious and parasitic diseases,B90-B94,102
2006,Jun,2006/06,Diabetes mellitus,E10-E14,5569
2006,Jun,2006/06,Malnutrition,E40-E46,193
2006,Jun,2006/06,Obesity and other hyperalimentation,E65-E68,344
2006,Jun,2006/06,Other degenerative diseases of the nervous system,G30-G31,5492
2006,Jun,2006/06,Pulmonary heart disease and diseases of pulmonary circulation,I26-I28,966
2006,Jun,2006/06,"Diseases of arteries, arterioles and capillaries",I70-I78,2355
2006,Jun,2006/06,Influenza and pneumonia,J09-J18,3846
2006,Jun,2006/06,Chronic lower respiratory diseases,J40-J47,9171
2006,Jun,2006/06,Diseases of liver,K70-K76,2936
2006,Jun,2006/06,Transport accidents,V01-V99,4172
2006,Jun,2006/06,Intentional self-harm,X60-X84,2868
2006,Jul,2006/07,Tuberculosis,A16-A19,44
2006,Jul,2006/07,Other bacterial diseases,A30-A49,2842
2006,Jul,2006/07,Viral hepatitis,B15-B19,541
2006,Jul,2006/07,Human immunodeficiency virus [HIV] disease,B20-B24,1002
2006,Jul,2006/07,Sequelae of infectious and parasitic diseases,B90-B94,122
2006,Jul,2006/07,Diabetes mellitus,E10-E14,5710
2006,Jul,2006/07,Malnutrition,E40-E46,181
2006,Jul,2006/07,Obesity and other hyperalimentation,E65-E68,406
2006,Jul,2006/07,Other degenerative diseases of the nervous system,G30-G31,5527
2006,Jul,2006/07,Pulmonary heart disease and diseases of pulmonary circulation,I26-I28,960
2006,Jul,2006/07,"Diseases of arteries, arterioles and capillaries",I70-I78,2408
2006,Jul,2006/07,Influenza and pneumonia,J09-J18,3718
2006,Jul,2006/07,Chronic lower respiratory diseases,J40-J47,9262
2006,Jul,2006/07,Diseases of liver,K70-K76,3077
2006,Jul,2006/07,Transport accidents,V01-V99,4357
2006,Jul,2006/07,Intentional self-harm,X60-X84,2978
2006,Aug,2006/08,Tuberculosis,A16-A19,49
2006,Aug,2006/08,Other bacterial diseases,A30-A49,2692
2006,Aug,2006/08,Viral hepatitis,B15-B19,580
2006,Aug,2006/08,Human immunodeficiency virus [HIV] disease,B20-B24,1044
2006,Aug,2006/08,Sequelae of infectious and parasitic diseases,B90-B94,96
2006,Aug,2006/08,Diabetes mellitus,E10-E14,5631
2006,Aug,2006/08,Malnutrition,E40-E46,187
2006,Aug,2006/08,Obesity and other hyperalimentation,E65-E68,370
2006,Aug,2006/08,Other degenerative diseases of the nervous system,G30-G31,5558
2006,Aug,2006/08,Pulmonary heart disease and diseases of pulmonary circulation,I26-I28,938
2006,Aug,2006/08,"Diseases of arteries, arterioles and capillaries",I70-I78,2450
2006,Aug,2006/08,Influenza and pneumonia,J09-J18,3520
2006,Aug,2006/08,Chronic lower respiratory diseases,J40-J47,8710
2006,Aug,2006/08,Diseases of liver,K70-K76,2960
2006,Aug,2006/08,Transport accidents,V01-V99,4379
2006,Aug,2006/08,Intentional self-harm,X60-X84,2801
2006,Sep,2006/09,Tuberculosis,A16-A19,59
2006,Sep,2006/09,Other bacterial diseases,A30-A49,2765
2006,Sep,2006/09,Viral hepatitis,B15-B19,575
2006,Sep,2006/09,Human immunodeficiency virus [HIV] disease,B20-B24,930
2006,Sep,2006/09,Sequelae of infectious and parasitic diseases,B90-B94,82
2006,Sep,2006/09,Diabetes mellitus,E10-E14,5438
2006,Sep,2006/09,Malnutrition,E40-E46,177
2006,Sep,2006/09,Obesity and other hyperalimentation,E65-E68,338
2006,Sep,2006/09,Other degenerative diseases of the nervous system,G30-G31,5719
2006,Sep,2006/09,Pulmonary heart disease and diseases of pulmonary circulation,I26-I28,979
2006,Sep,2006/09,"Diseases of arteries, arterioles and capillaries",I70-I78,2409
2006,Sep,2006/09,Influenza and pneumonia,J09-J18,3727
2006,Sep,2006/09,Chronic lower respiratory diseases,J40-J47,8535
2006,Sep,2006/09,Diseases of liver,K70-K76,2992
2006,Sep,2006/09,Transport accidents,V01-V99,4128
2006,Sep,2006/09,Intentional self-harm,X60-X84,2716
2006,Oct,2006/10,Tuberculosis,A16-A19,53
2006,Oct,2006/10,Other bacterial diseases,A30-A49,3001
2006,Oct,2006/10,Viral hepatitis,B15-B19,589
2006,Oct,2006/10,Human immunodeficiency virus [HIV] disease,B20-B24,1014
2006,Oct,2006/10,Sequelae of infectious and parasitic diseases,B90-B94,95
2006,Oct,2006/10,Diabetes mellitus,E10-E14,5974
2006,Oct,2006/10,Malnutrition,E40-E46,185
2006,Oct,2006/10,Obesity and other hyperalimentation,E65-E68,402
2006,Oct,2006/10,Other degenerative diseases of the nervous system,G30-G31,6571
2006,Oct,2006/10,Pulmonary heart disease and diseases of pulmonary circulation,I26-I28,1060
2006,Oct,2006/10,"Diseases of arteries, arterioles and capillaries",I70-I78,2626
2006,Oct,2006/10,Influenza and pneumonia,J09-J18,4206
2006,Oct,2006/10,Chronic lower respiratory diseases,J40-J47,9680
2006,Oct,2006/10,Diseases of liver,K70-K76,3098
2006,Oct,2006/10,Transport accidents,V01-V99,4228
2006,Oct,2006/10,Intentional self-harm,X60-X84,2858
2006,Nov,2006/11,Tuberculosis,A16-A19,56
2006,Nov,2006/11,Other bacterial diseases,A30-A49,2833
2006,Nov,2006/11,Viral hepatitis,B15-B19,627
2006,Nov,2006/11,Human immunodeficiency virus [HIV] disease,B20-B24,976
2006,Nov,2006/11,Sequelae of infectious and parasitic diseases,B90-B94,115
2006,Nov,2006/11,Diabetes mellitus,E10-E14,6095
2006,Nov,2006/11,Malnutrition,E40-E46,178
2006,Nov,2006/11,Obesity and other hyperalimentation,E65-E68,395
2006,Nov,2006/11,Other degenerative diseases of the nervous system,G30-G31,6730
2006,Nov,2006/11,Pulmonary heart disease and diseases of pulmonary circulation,I26-I28,1027
2006,Nov,2006/11,"Diseases of arteries, arterioles and capillaries",I70-I78,2569
2006,Nov,2006/11,Influenza and pneumonia,J09-J18,4356
2006,Nov,2006/11,Chronic lower respiratory diseases,J40-J47,9892
2006,Nov,2006/11,Diseases of liver,K70-K76,3082
